AwayTeam AT HomeTeam Line OverUnder
Cowboys at Bucs (-6.5, 52)	
Steelers at Bills (-6, 49.5)	
Jets at Panthers (-4.5, 43)	
Jaguars (-3, 45.5) at Texans	
Cardinals at Titans (-2.5, 51)	
Chargers (-1.5, 44.5) at FootballTeam	
Eagles at Falcons (-3.5, 47.5)	
Seahawks at Colts (-3, 52)	
Vikings (-3, 48) at Bengals	
49ers (-7.5, 46) at Lions	
Browns at Chiefs (-6.5, 53)	
Dolphins at Patriots (-2.5, 45)	
Broncos (-1, 42.5) at Giants	
Packers at Saints (-3, 50.5)	
Bears at Rams (-7, 44.5)	
Ravens (-4, 51) at Raiders	
Giants at FootballTeam (-3, 43)	
Patriots (-3, 42.5) at Jets	
Broncos (-1.5, 43.5) at Jaguars	
Bills (-3, 48.5) at Dolphins	
49ers (-4, 46) at Eagles	
Rams at Colts (-1.5, 49.5)	
Raiders at Steelers (-5.5, 49)	
Bengals at Bears (-3.5, 45.5)	
Texans at Browns (-13.5, 46)	
Saints (-2.5, 47.5) at Panthers	
Vikings at Cardinals (-3, 49.5)	
Falcons at Bucs (-9.5, 52)	
Titans at Seahawks (-3.5, 49)	
Cowboys at Chargers (-1.5, 52)	
Chiefs at Ravens (0, 51.5)	
Lions at Packers (-7.5, 47.5)	
Panthers (-4, 44.5) at Texans	
Colts (-1, 49.5) at Titans	
Falcons at Giants (-2.5, 48.5)	
Chargers at Chiefs (-7.5, 52.5)	
Bengals at Steelers (-6, 47)	
Bears at Browns (-7, 44.5)	
Ravens (-7.5, 48) at Lions	
Saints (0, 47) at Patriots	
Cardinals (-2.5, 49) at Jaguars	
FootballTeam at Bills (-7.5, 48)	
Jets at Broncos (-5.5, 42.5)	
Dolphins (0, 46.5) at Raiders	
Seahawks at Vikings (-1.5, 48)	
Bucs at Rams (-1, 49.5)	
Packers at 49ers (-5, 44.5)	
Eagles at Cowboys (-6.5, 49.5)	
Jaguars at Bengals (-2.5, 47)	
Titans (-2.5, 46.5) at Jets	
Chiefs (-8, 50.5) at Eagles	
Panthers at Cowboys (-5.5, 49.5)	
Giants at Saints (-5.5, 47.5)	
Browns (-1.5, 47.5) at Vikings	
Lions at Bears (-5.5, 44.5)	
Texans at Bills (-14, 49.5)	
Colts (-1.5, 47) at Dolphins	
FootballTeam at Falcons (-3, 48)	
Seahawks at 49ers (-3.5, 46.5)	
Cardinals at Rams (-4.5, 49)	
Steelers at Packers (-2.5, 46.5)	
Ravens (-3.5, 45) at Broncos	
Bucs (-3.5, 49) at Patriots	
Raiders at Chargers (-4, 49.5)	
Rams (0, 48) at Seahawks	
Jets at Falcons (-3, 47.5) 
Lions at Vikings (-8.5, 48)	
Saints (-1.5, 46.5) at FootballTeam	
Patriots (-6, 46.5) at Texans	
Dolphins at Bucs (-7.5, 50.5)	
Packers (-3, 46.5) at Bengals	
Broncos at Steelers (-4.5, 45)	
Eagles at Panthers (-3, 47.5)	
Titans (-2.5, 48) at Jaguars	
Browns (-1.5, 47.5) at Chargers	
Bears at Raiders (-3.5, 46.5)	
49ers (0, 46.5) at Cardinals	
Colts at Ravens (-4, 49)	
Bucs (-7.5, 50.5) at Eagles	
Dolphins (-1.5, 45.5) at Jaguars	
Chiefs (-6.5, 50.5) at FootballTeam	
Rams (-3.5, 45.5) at Giants	
Texans at Colts (-11.5, 48)	
Bengals (-1, 47) at Lions	
Packers (-2.5, 46) at Bears	
Chargers at Ravens (-5.5, 49)	
Vikings (0, 47.5) at Panthers	
Cardinals at Browns (-4.5, 50)	
Raiders at Broncos (-3.5, 47)	
Cowboys at Patriots (-1, 48)	
Seahawks at Steelers (-2.5, 48)	
Bills (-2.5, 51.5) at Titans	
Broncos at Browns (-7, 44.5)	
Panthers at Giants (-3, 46.5)	
Jets at Patriots (-6, 44.5)	
Chiefs (-4.5, 54) at Titans	
FootballTeam at Packers (-4, 46.5)	
Falcons at Dolphins (-3.5, 48)	
Bengals at Ravens (-10, 48)	
Lions at Rams (-12, 46)	
Eagles at Raiders (-3.5, 48.5)	
Texans at Cardinals (-10.5, 49)	
Bears at Bucs (-10, 48)	
Colts at 49ers (-4.5)	
Saints at Seahawks (-3, 48)	
Packers at Cardinals (-3, 49)	
Bengals at Jets (-1, 47)	
Titans at Colts (-3.5, 50)	
Rams (-8.5, 47) at Texans	
Steelers at Browns (-4.5, 47)	
Eagles (0, 48.5) at Lions	
49ers (-4, 44.5) at Bears	
Panthers at Falcons (-3.5, 49.5)	
Dolphins at Bills (-7, 49)	
Patriots at Chargers (-2.5, 46.5)	
Jaguars at Seahawks (-7, 48)	
FootballTeam at Broncos (-3, 43)	
Bucs (-2.5, 51.5) at Saints	
Cowboys at Vikings (-2, 49.5)	
Giants at Chiefs (-10, 49)	
Jets at Colts (-8.5, 48)	
Falcons at Saints (-6, 50)	
Broncos at Cowboys (-4.5, 47)	
Patriots (0, 46.5) at Panthers	
Vikings at Ravens (-7, 49)	
Browns (-4.5, 48) at Bengals	
Bills (-6.5, 51) at Jaguars	
Texans at Dolphins (-7.5, 46.5)	
Raiders at Giants (-1.5, 47.5)	
Chargers (-2, 48) at Eagles	
Packers at Chiefs (-7, 52.5)	
Cardinals at 49ers (-5.5, 47)	
Titans at Rams (-5.5, 49.5)	
Bears at Steelers (-5.5, 45.5)	
Ravens (-3, 48) at Dolphins	
Bills (-7, 48) at Jets	
Bucs (-7, 50.5) at FootballTeam	
Falcons at Cowboys *-5.5, 51.5)	
Saints at Titans (-2.5, 49.5)	
Jaguars at Colts (-7.5, 51)	
Lions at Steelers (-7.5, 45.5)	
Browns (-2, 46) at Patriots	
Vikings at Chargers (-3, 48.5)	
Panthers at Cardinals (-6, 49.5)	
Eagles at Broncos (-4.5, 45.5)	
Seahawks at Packers (-3, 49.5)	
Chiefs (-7.5, 53.5) at Raiders	
Rams at 49ers (-3, 45.5)	
Patriots at Falcons (-1.5, 48)	
Saints (-3.5, 48) at Eagles	
Dolphins (-3, 44) at Jets	
FootballTeam at Panthers (-1, 46.5)	
Colts at Bills (-6, 51.5)	
Lions at Browns (-10, 47)	
49ers (-4, 45.5) at Jaguars	
Texans at Titans (-8.5, 50)	
Packers at Vikings (-3, 47)	
Ravens (-3.5, 45.5) at Bears	
Bengals at Raiders (-4.5, 50)	
Cardinals at Seahawks (-3.5, 50.5)	
Cowboys at Chiefs (-7.5, 55)	
Steelers at Chargers (-2.5, 48)	
Giants at Bucs (-10, 50.5)	
Bears (-3, 45) at Lions	
Raiders at Cowboys (-5.5, 53)	
Bills (-1.5, 52) at Saints	
Bucs (0, 51.5) at Colts	
Jets (-1, 47) at Texans	
Eagles at Giants (-3, 46.5)	
Panthers at Dolphins (-4.5, 45.5)	
Titans at Patriots (-1, 48)	
Steelers (-3, 46) at Bengals	
Falcons (0, 51) at Jaguars	
Chargers at Broncos (-2.5, 45.5)	
Rams (-1, 45.5) at Packers	
Vikings at 49ers (-7, 46.5)	
Browns at Ravens (-3.5, 46.5)	
Seahawks (-2.5, 46.5) at FootballTeam	
Cowboys at Saints (-3.5, 50)	
Giants at Dolphins (-3.5, 45.5)	
Colts (-7, 49) at Texans	
Vikings (-4, 46) at Lions	
Eagles at Jets (-1.5, 45)	
Broncos at Chiefs (-9.5, 50)	
Cardinals (-1.5, 46) at Bears	
Chargers (-2.5, 46.5) at Bengals	
Bucs (-4.5, 52) at Falcons	
FootballTeam at Raiders (-2.5, 47.5)	
Jaguars at Rams (-9.5, 47)	
Ravens (-2.5, 45.5) at Steelers	
49ers at Seahawks (-1.5, 45.5)	
Patriots at Bills (-7, 48)	
Steelers at Vikings (-2.5, 46.5)	
Cowboys at FootballTeam (-1.5, 47.5)	
49ers (-3.5, 46) at Bengals	
Jaguars at Titans (-6, 51.5)	
Seahawks (-7, 48.5) at Texans	
Raiders at Chiefs (-10.5, 53)	
Saints (-3, 46.5) at Jets	
Falcons at Panthers (-1.5, 48.5)	
